Common Name,Scientific Name,Image URL,Freshwater,Saltwater
Banded leporinus,Leporinus fasciatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Leporinus_fasciatus2.jpg/120px-Leporinus_fasciatus2.jpg,Yes,No
Bandtail puffer,Sphoeroides spengleri,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Bandtail_puffer.jpg/120px-Bandtail_puffer.jpg,No,Yes
Bandtail searobin,Prionotus ophryas,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Bandtail_searobin_%28_Prionotus_ophryas_%29.jpg/120px-Bandtail_searobin_%28_Prionotus_ophryas_%29.jpg,No,Yes
Bank butterflyfish,Prognathodes aya,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Prognathodes_aya.jpg/120px-Prognathodes_aya.jpg,No,Yes
Bar jack,Caranx ruber,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Bar_jack_portrait.jpg/120px-Bar_jack_portrait.jpg,No,Yes
Red barbfish,Scorpaena brasiliensis,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Fish4439_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Fish4439_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Barred hamlet,Hypoplectrus puella,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Hypoplectrus_puella.jpg/120px-Hypoplectrus_puella.jpg,No,Yes
Barred sorubim,Pseudoplatystoma fasciatum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Pseudoplatystoma-fasciatum.jpg/120px-Pseudoplatystoma-fasciatum.jpg,Yes,No
Basking shark,Cetorhinus maximus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Cetorhinus_maximus_by_greg_skomal.JPG/120px-Cetorhinus_maximus_by_greg_skomal.JPG,No,Yes
Batfish,Platax orbicularis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/NanyoTU.jpg/120px-NanyoTU.jpg,No,Yes
Bay anchovy,Anchoa mitchilli,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/FMIB_40005_Anchovia_mitchilli-_Adult_fish_7_cm_in_length.jpeg/120px-FMIB_40005_Anchovia_mitchilli-_Adult_fish_7_cm_in_length.jpeg,No,Yes
Bearded brotula,Brotula barbata,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Bearded_brotula_%28_Brotula_barbata_%29.jpg/120px-Bearded_brotula_%28_Brotula_barbata_%29.jpg,No,Yes
Beaugregory,Stegastes leucostictus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Stegastes_leucostictus.jpg/120px-Stegastes_leucostictus.jpg,No,Yes
