Common Name,Scientific Name,Image URL,Freshwater,Saltwater
Caribbean ocellated moray,Gymnothorax ocellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/F_de_Castelnau-poissonsPl43.jpg/120px-F_de_Castelnau-poissonsPl43.jpg,No,Yes
Caribbean reef shark,Carcharhinus perezii,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Haai11.jpg/120px-Haai11.jpg,No,Yes
Caribbean sharpnose-puffer,Canthigaster rostrata,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Canthigaster_rostrata_inflated_SI.jpg/120px-Canthigaster_rostrata_inflated_SI.jpg,No,Yes
Cero mackerel,Scomberomorus regalis,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Screg_u0.gif/120px-Screg_u0.gif,No,Yes
Chain dogfish,Scyliorhinus retifer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Scyliorhinus_retifer_SI.jpg/120px-Scyliorhinus_retifer_SI.jpg,No,Yes
Chain moray,Echidna catenata,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Chain_moray_eel.jpg/120px-Chain_moray_eel.jpg,No,Yes
Chain pickerel,Esox niger,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Esox_niger.jpg/120px-Esox_niger.jpg,Yes,No
Chalk bass,Serranus tortugarum,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Serranus_tortugarum_-_pone.0010676.g063.png/120px-Serranus_tortugarum_-_pone.0010676.g063.png,No,Yes
Channel catfish,Ictalurus punctatus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ictalurus_punctatus.jpg/120px-Ictalurus_punctatus.jpg,Yes,No
Checkered puffer,Sphoeroides testudineus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Sphoeroides_testudineus_%28checkered_pufferfish%29_%28San_Salvador_Island%2C_Bahamas%29_%2815548625654%29.jpg/120px-Sphoeroides_testudineus_%28checkered_pufferfish%29_%28San_Salvador_Island%2C_Bahamas%29_%2815548625654%29.jpg,No,Yes
Cherubfish,Centropyge argi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cherub_fish_Centropyge_argi.jpg/120px-Cherub_fish_Centropyge_argi.jpg,No,Yes
Chocolate surgeonfish,Acanthurus pyroferus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Chocolate_tang_-_Acanthurus_pyroferus.jpg/120px-Chocolate_tang_-_Acanthurus_pyroferus.jpg,No,Yes
Choctaw bass,Micropterus sp. cf. punctulatus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Choctaw_bass.jpg/120px-Choctaw_bass.jpg,Yes,No
Clearnose skate,Rostroraja eglanteria,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/FMIB_51334_Brier_Ray_Raja_eglanteria_Male.jpeg/120px-FMIB_51334_Brier_Ray_Raja_eglanteria_Male.jpeg,No,Yes
Clown featherback,Chitala ornata,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Chitala_ornata.jpg/120px-Chitala_ornata.jpg,Yes,No
Clown goby,Gobiodon,,No,Yes
Clown wrasse,Halichoeres maculipinna,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Halichoeres_maculipinna.jpg/120px-Halichoeres_maculipinna.jpg,No,Yes
Clown wrasse,Coris aygula,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Coris_aygula_Prague_2011_3.jpg/120px-Coris_aygula_Prague_2011_3.jpg,No,Yes
Coastal shiner,Notropis petersoni,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Notropis_petersoni.jpg/120px-Notropis_petersoni.jpg,Yes,No
Cobia,Rachycentron canadum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Rachycentron_canadum.png/120px-Rachycentron_canadum.png,No,Yes
Caribbean cocoa damselfish,Stegastes xanthurus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Caribbean_Cocoa_damselfish.jpg/120px-Caribbean_Cocoa_damselfish.jpg,No,Yes
Collared eel,Kaupichthys nuchalis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Kaupichthys_nuchalis_SI.jpg/120px-Kaupichthys_nuchalis_SI.jpg,No,Yes
Colon goby,Coryphopterus dicrus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Coryphopterus_dicrus.jpg/120px-Coryphopterus_dicrus.jpg,No,Yes
Common carp,Cyprinus carpio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Cyprinus_carpio.jpeg/120px-Cyprinus_carpio.jpeg,Yes,No
Common clownfish,Amphiprion ocellaris,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/False_Percula.JPG/120px-False_Percula.JPG,No,Yes
Common lionfish,Pterois miles,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Common_lionfish_at_Shaab_El_Erg_reef_%28landscape_crop%29.JPG/120px-Common_lionfish_at_Shaab_El_Erg_reef_%28landscape_crop%29.JPG,No,Yes
Common rudd,Scardinius erythrophthalmus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Scardinius_erythropthalmus_2009_G1.jpg/120px-Scardinius_erythropthalmus_2009_G1.jpg,Yes,No
Common sand diver,Synodus intermedius,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Synodus_intermedius.jpg/120px-Synodus_intermedius.jpg,No,Yes
Common thresher,Alopias vulpinus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Alopias_vulpinus_noaa2.jpg/120px-Alopias_vulpinus_noaa2.jpg,No,Yes
Conchfish,Astrapogon stellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Astrapogon_stellatus.jpg/120px-Astrapogon_stellatus.jpg,No,Yes
Coney,Cephalopholis fulva,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Cephalopholis_fulva02.jpg/120px-Cephalopholis_fulva02.jpg,No,Yes
Convict cichlid,Archocentrus nigrofasciatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Archocentrus_nigrofasciatus_female.jpg/120px-Archocentrus_nigrofasciatus_female.jpg,Yes,No
Copper shark,Carcharhinus brachyurus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bronze_whaler_auckland.jpg/120px-Bronze_whaler_auckland.jpg,No,Yes
Cottonwick grunt,Haemulon melanurum,,No,Yes
Cownose ray,Rhinoptera bonasus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Rhinoptera_bonasus_Brest.jpg/120px-Rhinoptera_bonasus_Brest.jpg,No,Yes
Creole wrasse,Clepticus parra,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Clepticus_parrae_-_pone.0010676.g111.png/120px-Clepticus_parrae_-_pone.0010676.g111.png,No,Yes
Atlantic Creole-fish,Paranthias furcifer,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Paranthias_furcifer_-_pone.0010676.g055.png/120px-Paranthias_furcifer_-_pone.0010676.g055.png,No,Yes
Crested goby,Lophogobius cyprinoides,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/FMIB_39794_Lophogobius_cyprinoides_%28Pallas%29.jpeg/120px-FMIB_39794_Lophogobius_cyprinoides_%28Pallas%29.jpeg,No,Yes
Crevalle Jack,Caranx hippos,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Crevalle_jack_aquarium-profile.jpg/120px-Crevalle_jack_aquarium-profile.jpg,No,Yes
Croaking gourami,Trichopsis vittata,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Trichopsis_vittata.jpg/120px-Trichopsis_vittata.jpg,Yes,No
Cuban gar,Atractosteus tristoechus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Atractosteus_tristoechus_01.jpg/120px-Atractosteus_tristoechus_01.jpg,Yes,No
Cuban dogfish,Squalus cubensis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Squalus_cubensis_eits.jpg/120px-Squalus_cubensis_eits.jpg,No,Yes
Cubbyu,Pareques acuminatus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pareques_acuminatus.jpg/120px-Pareques_acuminatus.jpg,No,Yes
Cubera snapper,Lutjanus cyanopterus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Gfp-cubera-snapper.jpg/120px-Gfp-cubera-snapper.jpg,No,Yes
Darter goby,Ctenogobius boleosoma,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Ctenogobius_boleosoma.jpg/120px-Ctenogobius_boleosoma.jpg,No,Yes
Dash goby,Ctenogobius saepepallens,,No,Yes
Diamond blenny,Malacoctenus boehlkei,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Malacoctenus_boehlkei_-_pone.0010676.g147.png/120px-Malacoctenus_boehlkei_-_pone.0010676.g147.png,No,Yes
Diamond killifish,Fundulus xenicus,,No,Yes
Doctorfish,Garra rufa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Doctor_fish2.jpg/120px-Doctor_fish2.jpg,No,Yes
Doctorfish tang,Acanthurus chirurgus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Acanthurus_chirurgus_SI.jpg/120px-Acanthurus_chirurgus_SI.jpg,No,Yes
Dog snapper,Lutjanus jocu,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lutjanus_jocu_SI3.jpg/120px-Lutjanus_jocu_SI3.jpg,No,Yes
Drab sole,Achirus achirus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Achirus_achirus_from_F_de_Castelnau-poissonsPl41.jpg/120px-Achirus_achirus_from_F_de_Castelnau-poissonsPl41.jpg,Yes,Yes
Dusky cardinalfish,Phaeoptyx pigmentaria,,No,Yes
Dusky damselfish,Stegastes adustus,,No,Yes
Dusky pipefish,Syngnathus floridae,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Syngnathus_floridae_%28S0241%29_%2812658632285%29.jpg/120px-Syngnathus_floridae_%28S0241%29_%2812658632285%29.jpg,No,Yes
Dusky shark,Carcharhinus obscurus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Carcharhinus_obscurus_at_Seaworld.jpg/120px-Carcharhinus_obscurus_at_Seaworld.jpg,No,Yes
Dusky squirrelfish,Sargocentron vexillarium,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Dusky_squirrelfish_Sargocentron_vexillarium_%284683571795%29.jpg/120px-Dusky_squirrelfish_Sargocentron_vexillarium_%284683571795%29.jpg,No,Yes
Dwarf frogfish,Antennarius pauciradiatus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Antennarius_pauciradiatus_-_pone.0010676.g028.png/120px-Antennarius_pauciradiatus_-_pone.0010676.g028.png,No,Yes
Dwarf goatfish,Upeneus parvus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Upeneus_parvus_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Upeneus_parvus_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Dwarf herring,Jenkinsia lamprotaenia,,No,Yes
Dwarf rainbowfish,Melanotaenia praecox,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Dwarf_neon_rainbows.jpg/120px-Dwarf_neon_rainbows.jpg,Yes,No
Eastern mosquitofish,Gambusia holbrooki,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Gambusia_holbrooki.png/120px-Gambusia_holbrooki.png,Yes,No
Eastern mudminnow,Umbra pygmaea,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Umbra_pygmaea.jpg/120px-Umbra_pygmaea.jpg,Yes,No
Electric eel,Electrophorus electricus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Electric-eel.jpg/120px-Electric-eel.jpg,Yes,No
Emperor angelfish,Pomacanthus imperator,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Pomocanthus_imperator_facing_right.jpg/120px-Pomocanthus_imperator_facing_right.jpg,No,Yes
Eyed flounder,Bothus ocellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Bothus_ocellatus_de_Castelnau.jpg/120px-Bothus_ocellatus_de_Castelnau.jpg,No,Yes
False pilchard,Harengula clupeola,,No,Yes
Fat sleeper,Dormitator maculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Fat_Sleeper_%28Dormitator_maculatus%29.jpg/120px-Fat_Sleeper_%28Dormitator_maculatus%29.jpg,No,Yes
Finetooth shark,Carcharhinus isodon,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Finetooth_shark_nmfs.jpg/120px-Finetooth_shark_nmfs.jpg,No,Yes
Firemouth cichlid,Thorichthys meeki,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Thorichthys_meeki_2019_G1.jpg/120px-Thorichthys_meeki_2019_G1.jpg,Yes,No
Flagfish,Jordanella floridae,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Jordanella_floridae.jpg/120px-Jordanella_floridae.jpg,Yes,No
Flamefish,Apogon maculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Apogon_maculatus.jpg/120px-Apogon_maculatus.jpg,No,Yes
Flat needlefish,Ablennes hians,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Needlefish.jpg/120px-Needlefish.jpg,No,Yes
Flathead catfish,Pylodictis olivaris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Pylodictis_olivaris.jpg/120px-Pylodictis_olivaris.jpg,Yes,No
Flier,Centrarchus macropterus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Centrarchus_macropterus_%281%29.jpg/120px-Centrarchus_macropterus_%281%29.jpg,Yes,No
Florida bass,Micropterus floridanus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Florida_bass.jpg/120px-Florida_bass.jpg,Yes,No
Florida blenny,Chasmodes saburrae,,No,Yes
Florida gar,Lepisosteus platyrhincus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Lepisosteus_platyrhincus.JPG/120px-Lepisosteus_platyrhincus.JPG,Yes,No
Florida pompano,Trachinotus carolinus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Pompano_common.jpg/120px-Pompano_common.jpg,No,Yes
Flowerhorn cichlid,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Gallery_19_68_148247.jpg/120px-Gallery_19_68_148247.jpg,Yes,No
Flying gurnard,Dactylopterus volitans,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Flughahn.jpg/120px-Flughahn.jpg,No,Yes
Foureye butterflyfish,Chaetodon capistratus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Chaetodon_capistratus1.jpg/120px-Chaetodon_capistratus1.jpg,No,Yes
Freckled cardinalfish,Phaeoptyx conklini,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Phaeoptyx_conklini_-_pone.0010676.g074.png/120px-Phaeoptyx_conklini_-_pone.0010676.g074.png,No,Yes
Freckled soapfish,Rypticus bistrispinus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Rypticus_bistrispinus.jpg/120px-Rypticus_bistrispinus.jpg,No,Yes
French angelfish,Pomacanthus paru,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Pomacanthus_paru3.jpg/120px-Pomacanthus_paru3.jpg,No,Yes
French grunt,Haemulon flavolineatum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Haemulon_flavolineatum_French_grunt.jpg/120px-Haemulon_flavolineatum_French_grunt.jpg,No,Yes
Freshwater goby,Ctenogobius shufeldti,,No,Yes
Frilled shark,Chlamydoselachus anguineus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Chlamydoselachus_anguineus_3.jpg/120px-Chlamydoselachus_anguineus_3.jpg,No,Yes
Frillfin goby,Bathygobius soporator,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Bathygobius_soporator_aka_Frillfin_Goby.jpg/120px-Bathygobius_soporator_aka_Frillfin_Goby.jpg,No,Yes
Fringed filefish,Monacanthus ciliatus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Monacanthus_ciliatus_-_pone.0010676.g193.png/120px-Monacanthus_ciliatus_-_pone.0010676.g193.png,No,Yes
Gafftopsail catfish,Bagre marinus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Bagre_marinus_%28line_art%29.jpg/120px-Bagre_marinus_%28line_art%29.jpg,No,Yes
Gag grouper,Mycteroperca microlepis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/MycteropercaMicrolepis.jpg/120px-MycteropercaMicrolepis.jpg,No,Yes
Galapagos shark,Carcharhinus galapagensis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Carcharinus_galapagensis_1.jpg/120px-Carcharinus_galapagensis_1.jpg,No,Yes
Giant cichlid,Boulengerochromis microlepis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/DKoehl_Boulengerochromis_microlepis.jpg/120px-DKoehl_Boulengerochromis_microlepis.jpg,Yes,No
Giant oarfish,Regalecus glesne,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Regalecus_glesne%2C_Naturhistorisches_Museum_Wien.jpg/120px-Regalecus_glesne%2C_Naturhistorisches_Museum_Wien.jpg,No,Yes
Glasseye snapper,Heteropriacanthus cruentatus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Priacanthus_cruentatus.jpg/120px-Priacanthus_cruentatus.jpg,No,Yes
Glassy sweeper,Pempheris schomburgkii,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Glassy_sweeper_Pempheris_schomburgki_%282447874250%29.jpg/120px-Glassy_sweeper_Pempheris_schomburgki_%282447874250%29.jpg,No,Yes
Golden shiner,Notemigonus crysoleucas,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Notemigonus_crysoleucas-1.jpg/120px-Notemigonus_crysoleucas-1.jpg,Yes,No
Golden topminnow,Fundulus chrysotus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Fundulus_chrysotus_UMFS_2.jpg/120px-Fundulus_chrysotus_UMFS_2.jpg,Yes,No
Golden tilefish,Lopholatilus chamaeleonticeps,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Lopholatilus_chamaeleonticeps2.jpg/120px-Lopholatilus_chamaeleonticeps2.jpg,No,Yes
Goldentail moray,Gymnothorax miliaris,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Goldentail_Moray.jpg/120px-Goldentail_Moray.jpg,No,Yes
Goldfish,Carassius auratus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Goldfish3.jpg/120px-Goldfish3.jpg,Yes,No
Goldline blenny,Malacoctenus aurolineatus,,No,Yes
Goldspotted eel,Myrichthys ocellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Myrichthys_ocellatus_-_pone.0010676.g018.png/120px-Myrichthys_ocellatus_-_pone.0010676.g018.png,No,Yes
Goliath grouper,Epinephelus itajara,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Itajara.JPG/120px-Itajara.JPG,No,Yes
Grass carp,Ctenopharyngodon idella,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Ctenopharyngodon_idella_01_Pengo.jpg/120px-Ctenopharyngodon_idella_01_Pengo.jpg,Yes,No
Grass porgy,Calamus arctifrons,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/FMIB_33954_Calamus_Arctifrons_Goode_and_Bean.jpeg/120px-FMIB_33954_Calamus_Arctifrons_Goode_and_Bean.jpeg,No,Yes
Gray angelfish,Pomacanthus arcuatus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Gray_angelfish.jpg/120px-Gray_angelfish.jpg,No,Yes
Gray snapper,Lutjanus griseus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Grey_snapper_-_Lutjanus_griseus.jpg/120px-Grey_snapper_-_Lutjanus_griseus.jpg,No,Yes
Graysby,Cephalopholis cruentata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Graysby3.jpg/120px-Graysby3.jpg,No,Yes
Great barracuda,Sphyraena barracuda,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Barracuda_laban.jpg/120px-Barracuda_laban.jpg,No,Yes
Great hammerhead,Sphyrna mokarran,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sphyrna_mokarran_at_georgia.jpg/120px-Sphyrna_mokarran_at_georgia.jpg,No,Yes
Great white shark,Carcharodon carcharias,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/White_shark.jpg/120px-White_shark.jpg,No,Yes
Greater amberjack,Seriola dumerili,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Seriola_dumerili_by_NPS_1.jpg/120px-Seriola_dumerili_by_NPS_1.jpg,No,Yes
Greater soapfish,Rypticus saponaceus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Rypticus_saponaceus.jpg/120px-Rypticus_saponaceus.jpg,No,Yes
Green moray,Gymnothorax funebris,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/GreenMorayEel.JPG/120px-GreenMorayEel.JPG,No,Yes
Green razorfish,Xyrichtys splendens,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Xyrichtys_splendens_-_pone.0010676.g126.png/120px-Xyrichtys_splendens_-_pone.0010676.g126.png,No,Yes
Green sunfish,Lepomis cyanellus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Lepomis_cyanellus_Raver.jpg/120px-Lepomis_cyanellus_Raver.jpg,Yes,No
Green swordtail,Xiphophorus hellerii,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Xiphophorus_helleri_03.jpg/120px-Xiphophorus_helleri_03.jpg,Yes,No
Greenblotch parrotfish,Sparisoma atomarium,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Sparisoma_atomarium.jpg/120px-Sparisoma_atomarium.jpg,No,Yes
Grey triggerfish,Balistes capriscus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Madeira_Dr%C3%BCckerfisch_K%C3%BCste_Funchal_5-07.JPG/120px-Madeira_Dr%C3%BCckerfisch_K%C3%BCste_Funchal_5-07.JPG,No,Yes
Gulf flounder,Paralichthys albigutta,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/A_Gulf_flounder_fish.jpg/120px-A_Gulf_flounder_fish.jpg,No,Yes
Gulf killifish,Fundulus grandis,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Fundulus_grandis.jpg/120px-Fundulus_grandis.jpg,No,Yes
Gulf kingfish,Menticirrhus littoralis,,No,Yes
Gulf menhaden,Brevoortia patronus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/B.patronus.JPG/120px-B.patronus.JPG,No,Yes
Gulf of Mexico fringed sole,Gymnachirus texae,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Gymnachirus_texae.jpg/120px-Gymnachirus_texae.jpg,No,Yes
Gulf pipefish,Syngnathus scovelli,,No,Yes
Gulf sturgeon,Acipenser oxyrinchus desotoi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Acipenser_oxyrinchus_desotoi-2.jpg/120px-Acipenser_oxyrinchus_desotoi-2.jpg,Yes,Yes
Gulf surgeonfish,Acanthurus randalli,,No,Yes
Gulf toadfish,Opsanus beta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Gulf_toadfish_aka_Opsanus_beta.jpg/120px-Gulf_toadfish_aka_Opsanus_beta.jpg,No,Yes
Guppy,Poecilia reticulata,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Guppy_pho_0048.jpg/120px-Guppy_pho_0048.jpg,Yes,No
Hairy blenny,Labrisomus nuchipinnis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Labrisomus_nuchipinnis_Castelnau.jpg/120px-Labrisomus_nuchipinnis_Castelnau.jpg,No,Yes
Hamlet,Hypoplectrus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hypoplectrus_%2810.3897-zookeys.882.38449%29_Figure_14.jpg/120px-Hypoplectrus_%2810.3897-zookeys.882.38449%29_Figure_14.jpg,No,Yes
Hardhead catfish,Arius felis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Arius_felis.jpg/120px-Arius_felis.jpg,No,Yes
Harlequin bass,Serranus tigrinus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Harlequin_Bass_%28Serranus_tigrinus%29.jpg/120px-Harlequin_Bass_%28Serranus_tigrinus%29.jpg,No,Yes
High-hat,Pareques acuminatus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pareques_acuminatus.jpg/120px-Pareques_acuminatus.jpg,No,Yes
Highfin carpsucker,Carpiodes velifer,,Yes,No
Hickory shad,Alosa mediocris,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Alosa_mediocris_%28S0512%29_%2812599883825%29.jpg/120px-Alosa_mediocris_%28S0512%29_%2812599883825%29.jpg,Yes,Yes
Hogchoker,Trinectes maculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Hogchoker_%28Trinectes_maculatus%29.jpg/120px-Hogchoker_%28Trinectes_maculatus%29.jpg,Yes,Yes
Hogfish,Lachnolaimus maximus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Hogfish.JPG/120px-Hogfish.JPG,No,Yes
Honeycomb moray,Muraena melanotis,,No,Yes
Horned searobin,Bellator militaris,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Horned_searobin_%28_Bellator_militaris_%29.jpg/120px-Horned_searobin_%28_Bellator_militaris_%29.jpg,No,Yes
Horse-eye jack,Caranx latus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Horse_eye_jack_1.jpg/120px-Horse_eye_jack_1.jpg,No,Yes
Houndfish,Tylosurus crocodilus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Tylosurus_crocodilus.jpg/120px-Tylosurus_crocodilus.jpg,No,Yes
Hovering goby,Valenciennea,,No,Yes
Humpback grouper,Cromileptes altivelis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Cromileptes_altivelis_skansen_2006.jpg/120px-Cromileptes_altivelis_skansen_2006.jpg,No,Yes
Hybrid striped bass,Morone chrysops × Morone saxatilis,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Hybrid_Striped_Bass.jpg/120px-Hybrid_Striped_Bass.jpg,Yes,No
Indigo Hamlet,Hypoplectrus indigo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Indigo_Hamlet.JPG/120px-Indigo_Hamlet.JPG,No,Yes
Inshore lizardfish,Synodus foetens,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Fish4494_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Fish4494_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Jack Dempsey,Rocio octafasciata,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Cichlasoma_octofasciata.jpg/120px-Cichlasoma_octofasciata.jpg,Yes,No
Jack-knifefish,Equetus lanceolatus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Equetus_lanceolatus.jpg/120px-Equetus_lanceolatus.jpg,No,Yes
Jaguar guapote,Parachromis managuensis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Parachromis_managuensis_2012_G1.jpg/120px-Parachromis_managuensis_2012_G1.jpg,Yes,No
Jewel fish,Hemichromis letourneuxi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Hemichromis_letourneauxi.jpg/120px-Hemichromis_letourneauxi.jpg,Yes,No
